epoch,acc,loss,lr,val_acc,val_loss
0,0.5380434782608695,2.2764691166255786,0.001,0.765625,0.4981504554549853
1,0.7554347826086957,0.4879190338694531,0.001,0.796875,0.4243382290005684
2,0.7554347826086957,0.5066754532896954,0.001,0.6770833333333334,0.5182333414753278
3,0.7010869565217391,0.6027856041555819,0.001,0.75,0.4761336197455724
4,0.8177083333333334,0.4369652656217416,0.001,0.765625,0.4941031063596408
5,0.7989130434782609,0.4637597306914952,0.001,0.84375,0.37059883524974185
6,0.8695652173913043,0.33583106165346893,0.001,0.859375,0.3331729918718338
7,0.8478260869565217,0.4870366829892863,0.001,0.8385416666666666,0.3179614245891571
8,0.8913043478260869,0.3053075693871664,0.001,0.8489583333333334,0.33484068016211194
9,0.8695652173913043,0.28809129219988117,0.001,0.8489583333333334,0.3412947431206703
10,0.8967391304347826,0.2266677190428195,0.001,0.8645833333333334,0.32427943497896194
11,0.9130434782608695,0.2162434037612832,0.001,0.8385416666666666,0.338256719832619
12,0.9021739130434783,0.230616079400415,0.001,0.8645833333333334,0.35234417766332626
13,0.8804347826086957,0.2855478340719381,0.001,0.8333333333333334,0.3669326528906822
14,0.9270833333333334,0.21242391970008612,0.001,0.8489583333333334,0.3211342158416907
